iter	Logloss
0	0.6120730583
1	0.5475775445
2	0.4970486918
3	0.4607870458
4	0.4298543205
5	0.4070330289
6	0.3883636178
7	0.3742120802
8	0.3629875358
9	0.3543694983
10	0.3469363372
11	0.341947153
12	0.3356424178
13	0.3312848542
14	0.3273482494
15	0.3239084352
16	0.3215675321
17	0.3197313201
18	0.3176451377
19	0.3151372138
20	0.3138241525
21	0.3121481238
22	0.3111624992
23	0.3099637766
24	0.3088019202
25	0.3077020199
26	0.3065983328
27	0.3052398669
28	0.3043031147
29	0.3035010199
30	0.3029083955
31	0.30214167
32	0.3015387013
33	0.3006613907
34	0.3001933239
35	0.2997422002
36	0.2988897466
37	0.2983987155
38	0.2979397327
39	0.2973905126
40	0.2959904006
41	0.2956798363
42	0.2945548077
43	0.2941747295
44	0.2936110499
45	0.2932671849
46	0.2929933265
47	0.2922078857
48	0.2917377914
49	0.2913981197
50	0.2905547506
51	0.2902664959
52	0.290019012
53	0.289814366
54	0.2897427609
55	0.2893973397
56	0.2891418575
57	0.2888310412
58	0.2879669448
59	0.2878185965
60	0.2876750598
61	0.2874639057
62	0.2870851804
63	0.2868261983
64	0.2865784281
65	0.286454758
66	0.2862272295
67	0.2860709296
68	0.2858641223
69	0.2857583723
70	0.285575867
71	0.2853621771
72	0.2847824103
73	0.2843470563
74	0.2836416129
75	0.2835095487
76	0.2833612801
77	0.2826584996
78	0.2825489463
79	0.282032264
80	0.2818383333
81	0.2817283459
82	0.2815338323
83	0.2812301329
84	0.2810400673
85	0.2806063251
86	0.2804262695
87	0.2803285634
88	0.2801185077
89	0.2799934934
90	0.2797614593
91	0.2797010621
92	0.2796162816
93	0.2796080228
94	0.2794053192
95	0.2793706317
96	0.2792245713
97	0.2790430297
98	0.2789474695
99	0.2787502689
100	0.2785906941
101	0.2784900222
102	0.2781082693
103	0.2779759304
104	0.2777683582
105	0.2776029979
106	0.2773911795
107	0.2772692403
108	0.2771209007
109	0.2769990013
110	0.2769567262
111	0.2769037204
112	0.2766787453
113	0.2765807763
114	0.2764712186
115	0.2764017738
116	0.2762742911
117	0.2761428453
118	0.2760860451
119	0.2759069672
120	0.2758333616
121	0.2756206243
122	0.2751108226
123	0.274842097
124	0.2746748638
125	0.2745628137
126	0.2744312394
127	0.2742505009
128	0.2737987421
129	0.2737291719
130	0.2735765097
131	0.273528666
132	0.2733912149
133	0.2727380651
134	0.2726076913
135	0.2725636668
136	0.2725080862
137	0.2721415575
138	0.2719040062
139	0.2717240389
140	0.2716487397
141	0.2714501986
142	0.2713300403
143	0.2712636827
144	0.2710606407
145	0.270902213
146	0.2707054575
147	0.2704604029
148	0.2704136111
149	0.2702752614
150	0.2701530408
151	0.2700750099
152	0.2700617188
153	0.269997533
154	0.2699439991
155	0.2698177214
156	0.2697761327
157	0.2697323212
158	0.2696554753
159	0.2695723734
160	0.269393764
161	0.2690154655
162	0.2689836712
163	0.268925663
164	0.2687303645
165	0.2684050381
166	0.2683059539
167	0.2682687854
168	0.2681316115
169	0.2681092113
170	0.2680020266
171	0.267867275
172	0.2678186436
173	0.2677414942
174	0.2675891346
175	0.2674956183
176	0.2674838193
177	0.267461406
178	0.2673444838
179	0.2673294954
180	0.2671545544
181	0.2671227721
182	0.2670832817
183	0.2669205232
184	0.2668578058
185	0.2664611269
186	0.2664350888
187	0.2664164807
188	0.2663274369
189	0.2662981737
190	0.2662021474
191	0.265926604
192	0.2658887627
193	0.2658310362
194	0.2657953231
195	0.2656896645
196	0.2656758601
197	0.2655450054
198	0.265486533
199	0.2654519591
200	0.2653785028
201	0.2652628829
202	0.2652090945
203	0.2651179853
204	0.2650678577
205	0.2648906588
206	0.2647686501
207	0.2647387619
208	0.2646938013
209	0.2646522192
210	0.2646103785
211	0.26443148
212	0.2642917428
213	0.2642431898
214	0.2642163329
215	0.2642081063
216	0.2641650676
217	0.2640683042
218	0.2640366409
219	0.2640303888
220	0.2640023241
221	0.2639531047
222	0.2638945464
223	0.2638198356
224	0.263738993
225	0.2636604517
226	0.2635699635
227	0.2634806162
228	0.2634664355
229	0.2633050905
230	0.263213339
231	0.2631835923
232	0.2631402281
233	0.2630999641
234	0.2630193531
235	0.2629806347
236	0.2629307912
237	0.2628560114
238	0.2627698828
239	0.2627584223
240	0.2626908468
241	0.2626262124
242	0.2625735608
243	0.2625478083
244	0.2624900307
245	0.2624565491
246	0.2623476813
247	0.2623235288
248	0.262211922
249	0.2620600623
250	0.2619673872
251	0.2619348253
252	0.2619101934
253	0.261831047
254	0.2617606716
255	0.2616937523
256	0.2616405753
257	0.2615659499
258	0.2615505338
259	0.261478721
260	0.261419862
261	0.2613609644
262	0.2612681108
263	0.2610283557
264	0.2609928399
265	0.2609337394
266	0.2609164644
267	0.2607891993
268	0.2607025088
269	0.2606018198
270	0.2605314706
271	0.2605052378
272	0.2604473366
273	0.2603611834
274	0.260258828
275	0.2602094883
276	0.2601873228
277	0.2601681487
278	0.2601246169
279	0.2600911484
280	0.260034996
281	0.2599322071
282	0.2599244444
283	0.2598657769
284	0.2598441904
285	0.2596953081
286	0.2596573771
287	0.259580186
288	0.2595255536
289	0.2594088905
290	0.2593784109
291	0.2593628846
292	0.2592951388
293	0.2592067791
294	0.2591828757
295	0.2590958526
296	0.25903885
297	0.2589969413
298	0.258956035
299	0.2589004737
300	0.2588854154
301	0.2588495087
302	0.2587881489
303	0.2587516669
304	0.2587017645
305	0.258643038
306	0.2586256372
307	0.2585287216
308	0.2584604502
309	0.2584277853
310	0.258416807
311	0.2582974698
312	0.2582410684
313	0.2582158485
314	0.2581676858
315	0.2581479739
316	0.2581230912
317	0.2580369182
318	0.2579602087
319	0.2579103318
320	0.2577612796
321	0.2577309355
322	0.2576806775
323	0.2575906474
324	0.2575551795
325	0.2575393631
326	0.2575109306
327	0.2574901798
328	0.2574285133
329	0.2573444197
