iter	Passed	Remaining
0	76	38129
1	177	44243
2	268	44438
3	331	41101
4	400	39673
5	471	38836
6	540	38046
7	618	38058
8	684	37354
9	746	36576
10	809	35966
11	864	35173
12	925	34680
13	989	34365
14	1070	34606
15	1192	36084
16	1249	35502
17	1308	35041
18	1362	34482
19	1424	34194
20	1483	33828
21	1540	33463
22	1596	33102
23	1656	32859
24	1714	32580
25	1771	32297
26	1826	31999
27	1877	31649
28	1925	31279
29	1978	30988
30	2029	30707
31	2079	30413
32	2137	30243
33	2193	30064
34	2241	29778
35	2295	29585
36	2356	29487
37	2419	29410
38	2479	29305
39	2529	29087
40	2579	28874
41	2622	28600
42	2669	28374
43	2716	28148
44	2762	27936
45	2812	27754
46	2878	27744
47	2946	27747
48	3018	27779
49	3090	27811
50	3159	27815
51	3227	27805
52	3296	27803
53	3361	27764
54	3409	27585
55	3466	27485
56	3523	27387
57	3578	27270
58	3636	27180
59	3710	27206
60	3782	27224
61	3848	27190
62	3910	27125
63	3970	27048
64	4033	26992
65	4094	26926
66	4192	27095
67	4252	27015
68	4312	26938
69	4369	26844
70	4425	26740
71	4489	26684
72	4548	26607
73	4601	26487
74	4655	26379
75	4705	26253
76	4769	26201
77	4819	26076
78	4869	25949
79	4921	25838
80	4970	25713
81	5018	25581
82	5070	25473
83	5124	25378
84	5174	25263
85	5222	25140
86	5271	25026
87	5321	24913
88	5375	24823
89	5426	24719
90	5473	24598
91	5518	24473
92	5569	24372
93	5592	24156
94	5642	24056
95	5691	23951
96	5740	23851
97	5791	23756
98	5848	23691
99	5903	23614
100	5962	23553
101	6016	23475
102	6075	23418
103	6134	23357
104	6192	23293
105	6251	23236
106	6309	23174
107	6370	23122
108	6427	23057
109	6485	22992
110	6548	22949
111	6609	22897
112	6680	22880
113	6743	22832
114	6810	22800
115	6878	22771
116	6952	22760
117	7029	22754
118	7128	22822
119	7227	22885
120	7310	22898
121	7423	23001
122	7531	23083
123	7658	23223
124	7761	23283
125	7873	23372
126	7962	23386
127	8024	23320
128	8090	23268
129	8176	23271
130	8267	23286
131	8343	23259
132	8414	23219
133	8509	23243
134	8594	23237
135	8655	23166
136	8747	23178
137	8836	23180
138	8960	23271
139	9050	23273
140	9131	23250
141	9229	23268
142	9314	23252
143	9368	23161
144	9459	23159
145	9547	23149
146	9612	23082
147	9691	23051
148	9795	23074
149	9856	22998
150	9927	22944
151	9996	22886
152	10059	22815
153	10121	22740
154	10188	22677
155	10256	22617
156	10326	22561
157	10404	22520
158	10474	22464
159	10545	22409
160	10629	22380
161	10697	22319
162	10764	22254
163	10834	22196
164	10902	22135
165	11003	22139
166	11070	22074
167	11140	22016
168	11210	21956
169	11260	21858
170	11315	21770
171	11366	21676
172	11412	21571
173	11463	21477
174	11517	21390
175	11582	21321
176	11660	21278
177	11718	21199
178	11770	21108
179	11820	21013
180	11872	20923
181	11920	20828
182	11968	20731
183	12016	20636
184	12065	20544
185	12124	20467
186	12179	20385
187	12230	20297
188	12280	20207
189	12332	20121
190	12382	20033
191	12433	19945
192	12480	19851
193	12528	19761
194	12577	19672
195	12629	19588
196	12678	19499
197	12726	19410
198	12782	19334
199	12828	19242
200	12874	19151
201	12925	19068
202	12973	18980
203	13026	18900
204	13087	18833
205	13145	18760
206	13209	18697
207	13266	18624
208	13323	18550
209	13375	18470
210	13425	18388
